searched_key_word,brand,title,find_dim,find_dim_from_content,guess_dimensions,guess_dim_from_comment,image_path,Id
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2019922/93419028/25541518-1672751140551.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2023910/2028895/93419028/25478453-1660340867761.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2014937/2025904/2028895/93419028/41800055-1636907679824.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2026901/93419028/16434334-1673365843813.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2019922/2042853/93419028/41961148-1651012425116.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2034877/93419028/13180196-1674062886806.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2027898/2036871/93419028/23811882-1700482935346.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2017928/2020919/2035874/93419028/35029564-1710778495805.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2017928/2020919/2035874/93419028/35029564-1710778495973.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2026901/2027898/93419028/73832985-1697041644011.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2014937/2025904/2028895/93419028/41800055-1636907679765.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2027898/2034877/93419028/26150218-1671478038373.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2027898/2034877/93419028/26150218-1671478038885.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2026901/2024907/93419028/13823217-1668026028976.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2045844/93419028/42392829-1674999361221.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2024907/2026901/93419028/44452065-1662902472189.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2027898/2045844/93419028/86263675-1672433902486.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2027898/2034877/93419028/14944095-1671479310947.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2020919/2025904/93419028/43058116-1681030269814.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2019922/2042853/93419028/41961148-1651012425036.jpeg,
"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2020919/2044847/93419028/85300521-1653804568425.jpeg,
