Id,searched_key_word,brand,title,find_dim,find_dim_from_content,guess_dimensions,guess_dim_from_comment,image_path
0,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2019922/93419028/25541518-1672751140551.jpeg
1,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2023910/2028895/93419028/25478453-1660340867761.jpeg
2,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2014937/2025904/2028895/93419028/41800055-1636907679824.jpeg
3,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2026901/93419028/16434334-1673365843813.jpeg
4,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2015934/2019922/2042853/93419028/41961148-1651012425116.jpeg
5,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2017928/2034877/93419028/13180196-1674062886806.jpeg
6,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2027898/2036871/93419028/23811882-1700482935346.jpeg
7,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2017928/2020919/2035874/93419028/35029564-1710778495805.jpeg
8,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2017928/2020919/2035874/93419028/35029564-1710778495973.jpeg
9,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren",Moda Yedi,"Satürn Cam Küre Rengarenk, Satürn Kız Küre, Renk Değiştiren","('(Mavi, Sarı, Yeşil, Kırmızı Renkte Değişir) Pille çalışmaktadır.(Piller dahildir) Yüksekliği:8cmdir.', 'Kürenin çapı:6 cmdir.')",,merhaba yerden yüksekliği 8 cm efendim.,merhaba. 6 cm efendim.,https://review-rating.mncdn.com/mnresize/140/210/prod/img/2016931/2026901/2027898/93419028/73832985-1697041644011.jpeg
